Time, CPU_cores, CPU_avg, Mem_total, Mem_avg, Disk_total, Disk_avg
  0.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  0.5,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
  1.0,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
  1.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  2.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  2.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  3.0,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
  3.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  4.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  4.5,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
  5.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  5.5,     2,  2.1%,   3.8, 37.2%,  97.4, 18.5%
  6.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  6.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  7.0,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
  7.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  8.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  8.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
  9.0,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
  9.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
 10.0,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
 10.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
 11.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
 11.5,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
 12.0,     2,  4.0%,   3.8, 37.2%,  97.4, 18.5%
 12.5,     2,  1.0%,   3.8, 37.2%,  97.4, 18.5%
 13.0,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
 13.5,     2,  0.0%,   3.8, 37.2%,  97.4, 18.5%
